Tiempo,Calificacion
85.07638889,85
84.67555556,85
79.55388889,110
75.31055556,110
64.95861111,110
58.15777778,110
56.23861111,110
55.90305556,110
52.46555556,103
51.99833333,96
37.20555556,85
34.75666667,110
33.80388889,110
31.35333333,85
9.126666667,103
8.795833333,110
8.664444444,78
7.531388889,78
5.903611111,103
5.715833333,110
3.0375,53
2.813055556,85
2.756388889,103
2.3825,110
2.066111111,110
1.517222222,110
1.064166667,110
76.10194444,110
65.14166667,110
35.66694444,110
34.13166667,110
33.49777778,110
32.32555556,110
31.90138889,110
30.4775,110
8.835277778,103.125
8.6625,110
8.376944444,110
7.475833333,110
5.433888889,110
5.013611111,110
4.986388889,110
4.578888889,110
3.2925,110
3.222222222,103.125
3.203888889,110
2.982777778,110
2.615555555,110
2.461666667,0
1.958055555,110
1.380833333,110
1.052222222,110
0.190277778,110
124.4347222,110
82.72527778,110
79.49027778,110
77.23111111,110
57.59055556,110
54.76583333,110
30.6,110
28.11916667,110
25.66944444,110
11.15472222,110
10.3125,110
9.896666667,110
7.478055555,110
6.8575,110
6.771944444,110
6.2025,110
5.871666667,110
5.341111111,110
4.986944444,110
4.799166667,110
4.2375,110
3.491666667,110
3.311111111,110
1.865,110
1.562777778,91.667
0.471944444,110
0,0
132.6375,110
54.12944444,80
52.09583333,70
50.9525,110
30.76055556,110
27.80527778,110
20.22694444,110
12.64138889,80
11.5975,90
5.919444444,100
5.140833333,100
4.560555556,110
4.293055556,100
3.991388889,100
3.665,110
3.470555556,70
3.288333333,110
2.965555556,110
2.935555556,100
2.777777778,80
1.338333333,100
1.186111111,80
1.1175,110
0.430833333,110
0.188055556,90
0.023888889,70
177.09,110
79.07388889,110
61.73972222,110
52.79222222,55
45.03972222,66
33.37027778,110
26.80694444,71.5
11.49055556,82.5
10.71777778,110
9.380555555,110
7.928888889,71.5
7.2925,22
6.991944444,93.5
6.551388889,110
5.996944444,110
4.018055556,110
3.588888889,60.5
2.831388889,38.5
2.811388889,110
1.776944444,104.5
1.321944444,104.5
1.158888889,49.5
1.148333333,55
0.788888889,110
0.050555555,82.5
0,77
0,99
299.9866667,110
220.3108333,110
202.1961111,91.66666
199.1058333,110
78.87694444,110
31.53111111,110
26.14916667,110
13.03722222,110
10.15944444,82.5
9.881666667,110
7.513333333,110
6.510277778,82.5
6.376111111,110
5.420277778,110
4.028333333,110
3.121944444,82.5
3.005,82.5
2.806111111,110
2.330277778,91.66666
1.395833333,110
1.288888889,110
1.045555555,110
0.793611111,110
0.601944444,110
0.595277778,91.66666
0,36.66666
0,82.5
79.49,110
52.31527778,110
49.58166667,110
33.33888889,110
29.69166667,96.25
11.72138889,55
9.468333333,110
8.638611111,110
8.463611111,110
7.845,110
5.084444444,82.5
4.782222222,110
4.322777778,110
4.246111111,110
3.108333333,110
2.03,110
1.742222222,96.25
1.663888889,110
1.283888889,82.5
1.058611111,110
0.934166667,110
0.616944444,110
0.464444444,110
0.429166667,96.25
0.325555556,27.5
0.243333333,96.25
0,82.5
80.22083333,105.415
53.36,110
11.30888889,110
10.32527778,110
10.16055556,110
9.924166667,91.67
9.863888889,110
9.303888889,110
8.480555555,73.34
6.548333333,110
6.392777778,110
5.498055556,100.83
4.713055555,89.3775
4.093888889,91.67
3.478055556,91.67
2.719722222,110
1.838611111,105.415
1.821666667,110
1.224722222,110
1.195277778,110
0.7825,110
0.565833333,91.67
0.362777778,110
0.318611111,110
0.262777778,110
0.089166667,87.088
0,0
80.03027778,110
79.00916667,82.5
73.60361111,110
58.63444444,110
54.00666667,110
52.07027778,110
29.10083333,110
27.99166667,96.25
14.70138889,88.94531
11.05,110
7.015833333,110
5.983611111,64.88281
5.729444444,82.5
5.466388889,96.25
5.421666667,110
4.294166667,110
2.854444444,27.5
2.707777778,68.75
2.406388889,110
2.113611111,106.5625
0.911666667,110
0.577777778,82.5
0.073333333,55
0,110
0,53.28125
0,11.60156
0,0
96.31916667,110
52.37416667,110
34.42222222,91.66
29.73333333,110
28.20055556,110
27.57416667,91.67
27.42805556,110
25.42916667,110
8.520833333,73.33
6.706388889,110
6.346388889,91.67
5.7925,110
5.778611111,110
5.638333333,110
5.589166667,110
5.5125,110
3.906666667,91.67
3.535277778,91.67
3.491944444,110
2.941388889,91.67
2.896944444,110
2.264444444,110
1.444166667,54.99
1.339444444,110
0.958333333,91.67
0.22,91.66
0.043333333,36.66
102.7452778,110
74.9675,110
73.91138889,110
57.24833333,88
55.07222222,110
49.6325,110
36.13222222,88
33.13194444,110
30.91333333,66
9.881666667,110
8.770555556,88
7.1875,110
7.131111111,110
7.021111111,110
5.911111111,110
5.273611111,110
4.765555555,110
3.744722222,88
3.171666667,66
2.756111111,110
2.538055555,110
2.323333333,110
2.183888889,66
1.83,110
1.743611111,88
1.035,66
0,66
55.66944444,110
36.54722222,110
32.85944444,110
29.86555556,82.5
26.19527778,110
12.58027778,82.5
9.661944444,110
8.928888889,110
8.330277778,82.5
7.664444444,82.5
7.230555555,110
7.227777778,110
6.884166667,96.25
6.502777778,110
6.353333333,70.58333
5.826944444,100.83333
5.474166667,74.25
4.663055555,110
4.334722222,82.5
2.848888889,82.5
2.1925,41.25
1.533055555,61.41666
1.500277778,96.25
1.398611111,82.5
0.903888889,89.83333
0.835277778,43.08333
0.776111111,47.20833
269.9952778,110
37.20833333,110
32.39,82.5
29.95611111,110
27.8675,82.5
24.39833333,110
9.101944444,110
8.83,110
8.320833333,110
7.552777778,110
7.361944444,110
6.641111111,110
6.556111111,110
6.171111111,82.5
5.427777778,55
5.228333333,110
4.333055555,82.5
3.512777778,82.5
3.368611111,82.5
2.953611111,55
2.129722222,82.5
1.475,55
1.438333333,110
1.188888889,55
0.511666667,27.5
0.221666667,27.5
0.071111111,55
28.42694444,110
28.06694444,110
27.64333333,110
27.11555556,82.5
11.83638889,110
8.505555556,82.5
7.304166667,85.25
7.270833333,110
6.166388889,110
4.576388889,110
4.341944444,110
4.317777778,57.75
4.17,110
3.538055555,101.75
2.994722222,110
2.899444444,74.25
2.849444444,110
2.798055555,101.75
2.261111111,55
2.178611111,0
1.021388889,110
0.788055556,82.5
0.610555555,110
0.350833333,82.5
0.221111111,77
0.192777778,16.5
0.148888889,57.75
135.6758333,82.5
35.96055556,82.5
29.72555556,110
11.32138889,110
10.10055556,110
9.275555556,110
8.035555556,82.5
7.503611111,110
6.576666667,110
6.559722222,110
4.928333333,110
4.651666667,110
4.108055555,110
3.659722222,82.5
3.434444444,82.5
1.723888889,110
1.699166667,110
1.43,27.5
1.400555556,110
1.386944444,64.6875
0.813055555,110
0.606666667,110
0.555277778,82.5
0.309166667,82.5
0.305833333,110
0.102777778,20
0,0
30.28083333,85.556
28.64888889,73.334
24.42583333,110
9.088055556,97.778
7.43,61.11
7.035833333,110
6.8675,73.334
5.771388889,110
5.702777778,110
5.240833333,110
4.557777778,61.112
4.508055556,110
4.436944444,97.778
4.055833333,110
3.775833333,12.222
2.383888889,48.888
1.755833333,110
1.103888889,85.554
1.049166667,85.556
1.018333333,61.112
0.989166667,110
0.953611111,85.556
0.861111111,110
